,"Instructions
Enter stock symbol in cell B4",,,,,POWERED BY
,,,,,,Google Finance
,,,,,,
,googl,<< enter a symbol,,,,
,,"<< optionally, enter an exchange (e.g. NASDAQ, NYSE)",,,,
,,,,,,
,Alphabet Inc Class A,,,,,
,,,a,,,
,Current price,,Change,% change,,
,"2,572.43",,+18.14,+0.71%,,
,,,,,,
,,,,,,
,Market cap,P/E ratio,Beta,,,
,"1,705,955M",22.97,1.06,,,
,,,,,,12 Months
,,,,,,
,,,,,,
,googl,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Date,Open,High,Low,Close,Volume
,"Apr 13, 2021","2,250.99","2,263.47","2,243.05","2,254.43","1,284,078"
,"Apr 14, 2021","2,267.43","2,267.43","2,236.02","2,241.91","1,050,143"
,"Apr 15, 2021","2,261.95","2,296.00","2,251.17","2,285.25","1,458,749"
,"Apr 16, 2021","2,289.24","2,294.24","2,270.92","2,282.75","1,314,139"
,"Apr 19, 2021","2,270.18","2,304.09","2,270.18","2,289.76","1,514,470"
,"Apr 20, 2021","2,297.49","2,299.00","2,257.12","2,279.01","1,114,416"
,"Apr 21, 2021","2,272.05","2,280.00","2,244.82","2,278.35","1,160,209"
,"Apr 22, 2021","2,275.40","2,288.88","2,240.32","2,252.52","1,207,276"
,"Apr 23, 2021","2,267.00","2,306.12","2,261.25","2,299.93","1,455,554"
,"Apr 26, 2021","2,304.52","2,324.53","2,297.32","2,309.93","1,601,892"
,"Apr 27, 2021","2,317.63","2,318.45","2,286.16","2,290.98","2,219,280"
,"Apr 28, 2021","2,392.50","2,431.38","2,353.22","2,359.04","4,055,340"
,"Apr 29, 2021","2,389.23","2,404.16","2,373.85","2,392.76","2,061,654"
,"Apr 30, 2021","2,368.02","2,381.85","2,346.56","2,353.50","2,242,838"
,"May 3, 2021","2,364.91","2,381.55","2,335.50","2,343.08","1,412,139"
,"May 4, 2021","2,313.55","2,324.99","2,256.68","2,306.83","2,240,932"
,"May 5, 2021","2,328.63","2,335.00","2,308.28","2,314.77","1,331,809"
,"May 6, 2021","2,306.33","2,337.35","2,293.04","2,337.35","1,259,523"
,"May 7, 2021","2,363.89","2,371.25","2,346.16","2,351.93","1,444,862"
,"May 10, 2021","2,328.14","2,331.00","2,284.54","2,291.75","1,545,729"
,"May 11, 2021","2,243.07","2,280.28","2,233.92","2,270.06","1,709,292"
,"May 12, 2021","2,226.19","2,247.98","2,193.62","2,200.25","2,318,774"
,"May 13, 2021","2,226.12","2,239.44","2,206.72","2,229.04","1,661,020"
,"May 14, 2021","2,258.54","2,284.72","2,250.00","2,278.38","1,599,829"
,"May 17, 2021","2,263.57","2,289.78","2,255.51","2,288.92","1,079,869"
,"May 18, 2021","2,302.35","2,307.68","2,262.19","2,262.47","1,110,185"
,"May 19, 2021","2,228.43","2,274.99","2,225.44","2,271.50","1,184,205"
,"May 20, 2021","2,291.00","2,312.00","2,283.52","2,306.95","1,617,550"
,"May 21, 2021","2,317.41","2,318.89","2,289.30","2,294.13","2,031,590"
,"May 24, 2021","2,314.89","2,365.55","2,311.96","2,361.04","1,591,610"
,"May 25, 2021","2,372.00","2,384.00","2,355.00","2,362.87","1,121,982"
,"May 26, 2021","2,366.52","2,388.99","2,366.46","2,380.31","1,078,598"
,"May 27, 2021","2,389.05","2,389.05","2,356.26","2,362.68","1,761,201"
,"May 28, 2021","2,374.42","2,376.07","2,352.85","2,356.85","1,074,540"
,"Jun 1, 2021","2,374.44","2,385.71","2,354.28","2,381.18","1,167,901"
,"Jun 2, 2021","2,389.15","2,393.64","2,352.36","2,370.59","1,058,146"
,"Jun 3, 2021","2,345.73","2,357.02","2,329.52","2,347.58","934,796"
,"Jun 4, 2021","2,369.27","2,399.03","2,362.41","2,393.57","1,222,910"
,"Jun 7, 2021","2,389.44","2,404.51","2,381.00","2,402.30","1,205,966"
,"Jun 8, 2021","2,412.01","2,419.52","2,394.78","2,398.44","1,211,992"
,"Jun 9, 2021","2,411.43","2,412.88","2,396.90","2,407.94","897,052"
,"Jun 10, 2021","2,406.92","2,436.00","2,403.78","2,435.13","1,295,375"
,"Jun 11, 2021","2,440.00","2,441.72","2,418.96","2,430.20","1,097,907"
,"Jun 14, 2021","2,432.26","2,448.92","2,418.00","2,448.91","1,104,878"
,"Jun 15, 2021","2,449.00","2,455.51","2,421.12","2,428.39","1,078,107"
,"Jun 16, 2021","2,431.44","2,437.72","2,389.40","2,415.45","1,323,593"
,"Jun 17, 2021","2,413.95","2,450.45","2,410.00","2,434.87","1,292,444"
,"Jun 18, 2021","2,427.34","2,432.06","2,400.30","2,402.22","2,305,760"
,"Jun 21, 2021","2,410.01","2,440.00","2,397.97","2,436.25","1,370,683"
,"Jun 22, 2021","2,435.00","2,448.00","2,421.28","2,446.61","1,119,510"
,"Jun 23, 2021","2,441.87","2,461.91","2,436.69","2,442.54","957,708"
,"Jun 24, 2021","2,454.00","2,461.11","2,446.00","2,450.00","1,068,257"
,"Jun 25, 2021","2,440.00","2,452.66","2,431.30","2,450.17","1,729,819"
,"Jun 28, 2021","2,453.57","2,455.70","2,428.11","2,450.72","1,426,271"
,"Jun 29, 2021","2,453.41","2,460.42","2,433.82","2,445.45","1,155,436"
,"Jun 30, 2021","2,439.89","2,445.14","2,427.09","2,441.79","1,223,699"
,"Jul 1, 2021","2,434.50","2,451.74","2,430.63","2,448.89","905,641"
,"Jul 2, 2021","2,463.00","2,508.08","2,461.19","2,505.15","1,300,109"
